tagname,Count,perc
"javascript","2405180","0.0354745475526901"
"python","1995428","0.0294310219916885"
"java","1857810","0.0274012627698814"
"c#","1550401","0.0228672174224958"
"php","1441606","0.021262575191563"
"android","1381051","0.0203694357063464"
"html","1138915","0.0167981167006096"
"jquery","1028381","0.0151678255626535"
"c++","771877","0.0113845896528858"
"css","766360","0.011303218163497"
"ios","672933","0.00992524206432551"
"mysql","648802","0.00956932844996236"
"sql","637933","0.00940901909376025"
"r","457904","0.00675373037467758"
"node.js","437249","0.00644908507590543"
"reactjs","403599","0.00595277356277625"
"arrays","395267","0.00582988299732626"
"c","382971","0.00564852649315282"
"asp.net","369349","0.00544761251300882"
"json","343344","0.00506405884587883"
"ruby-on-rails","333285","0.00491569636413837"
".net","321432","0.00474087376784952"
"sql-server","321085","0.00473575578582705"
"python-3.x","319103","0.00470652281646533"
"swift","316363","0.00466610993248394"
"django","294495","0.00434357382047476"
"objective-c","292454","0.00431347064667694"
"angular","281621","0.00415369226267313"
"excel","266708","0.00393373702952913"
"angularjs","262550","0.00387240974062598"
"pandas","253376","0.00373710032542696"
"regex","251375","0.00370758712073836"
"ruby","225064","0.00331952018992286"
"iphone","221453","0.00326626072858825"
"ajax","220218","0.00324804543234116"
"linux","218005","0.00321540539137371"
"xml","209331","0.00308747059003991"
"vba","201627","0.00297384253960463"
"spring","198592","0.00292907863344275"
"asp.net-mvc","198460","0.00292713173538234"
"laravel","195415","0.00288222033694316"
"typescript","189943","0.00280151256280221"
"database","188113","0.00277452147605551"
"wordpress","185213","0.00273174871563725"
"string","176577","0.0026043743849572"
"wpf","166121","0.00245015645980776"
"mongodb","164670","0.0024287553303709"
"windows","158857","0.00234301806957388"
"postgresql","157539","0.00232357858742516"
"xcode","155736","0.00229698572982719"
